id,brandid,stationname,lon,lat,locationid
45,3,"Jomo Kenyatta Rd, Mombasa",-4.043131,39.658855,28
46,3,Nyali Bridge,-4.038841,39.680103,28
47,3,Abdula Naser Street,-4.055993,39.67241,28
48,3,"The Kwa Shibu Road Junction, Mombasa CBD, Shimoni St, Mombasa",-4.05946,39.668631,28
49,8,"Better Living Access Rd, Kisumu",-0.095306,34.72928,17
50,8,"Near Kingways Tyre, West Down Town, Obote Rd, Kisumu",-0.097865,34.750304,17
51,8,"Oginga Odinga Rd, Kisumu",-0.098716,34.750139,17
52,8,"Opposite Kigomi Ltd, National Oil, Kisumu - Busia Rd, Kisumu",-0.088708,34.757332,17
53,3,Nakuru-Eldoret Highway,-0.2938204,36.038426,31
54,3,Nakuru-Kenyatta Avenue,-0.2871686,36.0492407,31
55,2,Nakuru-Mennengai,-0.2822119,36.0770116,31
56,2,Nakuru-Biashara,-0.2821261,36.0770116,31
57,7,Eldoret,0.5122703,35.1991705,5
58,7,Eldoret-Malaba Road,0.5126129,35.1991703,5
59,7,"Off Eldoret-Malaba road, Turbo",0.633448,34.9820315,5
